topw	w	count	topwlen	toplett	wlett	wlastlett	diffw
поставка	потавка	7	8	п	п	а	1
поставка	поствка	58	8	п	п	а	1
поставка	постака	90	8	п	п	а	1
поставка	пставка	55	8	п	п	а	1
поставка	оставка	13	8	п	о	а	1
поставка	посnавка	1	8	п	п	а	1
поставка	поcтавка	11	8	п	п	а	1
поставка	поставrа	1	8	п	п	а	1
поставка	gоставка	4	8	п	g	а	1
поставка	постaвка	13	8	п	п	а	1
поставка	пoставка	41	8	п	п	а	1
поставка	п0ставка	2	8	п	п	а	1
поставка	поставкe	2	8	п	п	e	0
поставка	поставкf	15	8	п	п	f	0
поставка	поставкa	56	8	п	п	a	0
поставка	гостевка	1	8	п	г	а	1
поставка	поскавка	2	8	п	п	а	1
поставка	потсавка	8	8	п	п	а	1
поставка	прставка	5	8	п	п	а	1
поставка	поствака	4	8	п	п	а	1
поставка	поставак	2	8	п	п	к	0
поставка	постаква	5	8	п	п	а	1
поставка	помтавка	1	8	п	п	а	1
поставка	пщставка	3	8	п	п	а	1
поставка	псставка	3	8	п	п	а	1
поставка	опставка	5	8	п	о	а	1
поставка	поатавка	2	8	п	п	а	1
поставка	65поставка	1	8	п	6	а	1
поставка	посатавка	2	8	п	п	а	1
поставка	поставкау	80	8	п	п	у	0
поставка	поставках	37	8	п	п	х	0
поставка	56поставка	1	8	п	5	а	1
поставка	57поставка	1	8	п	5	а	1
поставка	17поставка	5	8	п	1	а	1
поставка	12поставка	5	8	п	1	а	1
поставка	поставака	3	8	п	п	а	1
поставка	25поставка	1	8	п	2	а	1
поставка	поставкуа	44	8	п	п	а	1
поставка	упоставка	3	8	п	у	а	1
поставка	постаквка	1	8	п	п	а	1
поставка	эпоставка	1	8	п	э	а	1
поставка	85поставка	2	8	п	8	а	1
поставка	постапвка	2	8	п	п	а	1
поставка	поставкка	4	8	п	п	а	1
поставка	32поставка	4	8	п	3	а	1
поставка	поставка»	1	8	п	п	»	0
поставка	поставка«	2	8	п	п	«	0
поставка	54поставка	1	8	п	5	а	1
поставка	21поставка	2	8	п	2	а	1
поставка	поствавка	2	8	п	п	а	1
поставка	35поставка	1	8	п	3	а	1
поставка	28поставка	4	8	п	2	а	1
поставка	75поставка	1	8	п	7	а	1
поставка	78поставка	1	8	п	7	а	1
поставка	24поставка	1	8	п	2	а	1
поставка	14поставка	3	8	п	1	а	1
поставка	37поставка	1	8	п	3	а	1
поставка	поаставка	3	8	п	п	а	1
поставка	поставкаи	2	8	п	п	и	0
поставка	поставкак	6	8	п	п	к	0
поставка	поставкае	2	8	п	п	е	0
поставка	поставкаа	8	8	п	п	а	1
поставка	поставкан	3	8	п	п	н	0
поставка	поставкаж	1	8	п	п	ж	0
поставка	поставкав	4	8	п	п	в	0
поставка	порставка	2	8	п	п	а	1
поставка	посткавка	2	8	п	п	а	1
поставка	хпоставка	2	8	п	х	а	1
поставка	пчоставка	1	8	п	п	а	1
поставка	34поставка	3	8	п	3	а	1
поставка	76поставка	1	8	п	7	а	1
поставка	постаавка	4	8	п	п	а	1
поставка	84поставка	1	8	п	8	а	1
поставка	33поставка	3	8	п	3	а	1
поставка	98поставка	1	8	п	9	а	1
поставка	10поставка	3	8	п	1	а	1
поставка	паоставка	9	8	п	п	а	1
поставка	23поставка	1	8	п	2	а	1
поставка	постоавка	1	8	п	п	а	1
поставка	лпоставка	2	8	п	л	а	1
поставка	70поставка	1	8	п	7	а	1
поставка	03поставка	1	8	п	0	а	1
поставка	9-поставка	2	8	п	9	а	1
поставка	40поставка	1	8	п	4	а	1
поставка	13поставка	3	8	п	1	а	1
поставка	посставка	1	8	п	п	а	1
поставка	51поставка	1	8	п	5	а	1
поставка	пооставка	7	8	п	п	а	1
поставка	поставква	6	8	п	п	а	1
поставка	83поставка	2	8	п	8	а	1
поставка	80поставка	2	8	п	8	а	1
поставка	поставкаг	1	8	п	п	г	0
поставка	69поставка	2	8	п	6	а	1
поставка	61поставка	1	8	п	6	а	1
поставка	мпоставка	1	8	п	м	а	1
поставка	81поставка	2	8	п	8	а	1
поставка	проставка	52	8	п	п	а	1
поставка	дпоставка	1	8	п	д	а	1
поставка	рпоставка	1	8	п	р	а	1
поставка	попставка	2	8	п	п	а	1
поставка	26поставка	3	8	п	2	а	1
поставка	поставкеа	1	8	п	п	а	1
поставка	11поставка	3	8	п	1	а	1
поставка	29поставка	1	8	п	2	а	1
поставка	95поставка	2	8	п	9	а	1
поставка	16поставка	1	8	п	1	а	1
выполнение	выполение	70	10	в	в	е	1
выполнение	выполнене	18	10	в	в	е	1
выполнение	выполнени	10	10	в	в	и	0
выполнение	выплнение	7	10	в	в	е	1
выполнение	вполнение	27	10	в	в	е	1
выполнение	ыполнение	23	10	в	ы	е	1
выполнение	выполнеие	19	10	в	в	е	1
выполнение	выолнение	6	10	в	в	е	1
выполнение	выпонение	40	10	в	в	е	1
выполнение	выполнние	8	10	в	в	е	1
выполнение	выполнениe	1	10	в	в	e	0
выполнение	выпoлнение	43	10	в	в	е	1
выполнение	bыполнение	10	10	в	b	е	1
выполнение	dыполнение	7	10	в	d	е	1
выполнение	выполнeние	4	10	в	в	е	1
выполнение	выполенние	17	10	в	в	е	1
выполнение	выролнение	1	10	в	в	е	1
выполнение	выоплнение	2	10	в	в	е	1
выполнение	ввполнение	4	10	в	в	е	1
выполнение	выполненем	2	10	в	в	м	0
выполнение	выполненре	1	10	в	в	е	1
выполнение	вополнение	1	10	в	в	е	1
выполнение	выплднение	1	10	в	в	е	1
выполнение	выплонение	2	10	в	в	е	1
выполнение	40выполнение	1	10	в	4	е	1
выполнение	выполненине	5	10	в	в	е	1
выполнение	квыполнение	3	10	в	к	е	1
выполнение	ввыполнение	45	10	в	в	е	1
выполнение	выполненние	10	10	в	в	е	1
выполнение	выполнениея	2	10	в	в	я	0
выполнение	вывполнение	2	10	в	в	е	1
выполнение	выполненеие	1	10	в	в	е	1
выполнение	фвыполнение	1	10	в	ф	е	1
выполнение	выпол­нение	38	10	в	в	е	1
выполнение	выпролнение	1	10	в	в	е	1
выполнение	выполннение	1	10	в	в	е	1
выполнение	выполненрие	2	10	в	в	е	1
выполнение	выполнениие	7	10	в	в	е	1
выполнение	выполнепние	1	10	в	в	е	1
выполнение	выполниение	1	10	в	в	е	1
выполнение	выполненире	2	10	в	в	е	1
выполнение	йвыполнение	2	10	в	й	е	1
выполнение	19выполнение	2	10	в	1	е	1
выполнение	17выполнение	1	10	в	1	е	1
выполнение	выполенение	24	10	в	в	е	1
оказание	оказние	7	8	о	о	е	1
оказание	оказане	1	8	о	о	е	1
оказание	окзание	14	8	о	о	е	1
оказание	оказаие	2	8	о	о	е	1
оказание	окаание	3	8	о	о	е	1
оказание	оазание	21	8	о	о	е	1
оказание	казание	15	8	о	к	е	1
оказание	jказание	15	8	о	j	е	1
оказание	оказаниe	2	8	о	о	e	0
оказание	окaзание	1	8	о	о	е	1
оказание	oказание	85	8	о	o	е	1
оказание	окаазние	2	8	о	о	е	1
оказание	оказанте	1	8	о	о	е	1
оказание	оказыние	1	8	о	о	е	1
оказание	оказаните	2	8	о	о	е	1
оказание	окакзание	3	8	о	о	е	1
оказание	оаказание	4	8	о	о	е	1
оказание	ооказание	44	8	о	о	е	1
оказание	оказанние	1	8	о	о	е	1
оказание	уоказание	8	8	о	у	е	1
оказание	оказаниея	1	8	о	о	я	0
оказание	оказаниие	6	8	о	о	е	1
оказание	окахзание	1	8	о	о	е	1
заключения	заключеня	8	10	з	з	я	1
заключения	заключния	9	10	з	з	я	1
заключения	залючения	9	10	з	з	я	1
заключения	зключения	12	10	з	з	я	1
заключения	заклюения	11	10	з	з	я	1
заключения	закючения	6	10	з	з	я	1
заключения	заклчения	9	10	з	з	я	1
заключения	аключения	3	10	з	а	я	1
заключения	заключеия	9	10	з	з	я	1
заключения	заключени	36	10	з	з	и	0
заключения	заключениt	1	10	з	з	t	0
заключения	зaключения	2	10	з	з	я	1
заключения	заулючения	2	10	з	з	я	1
заключения	закличения	1	10	з	з	я	1
заключения	заклбчения	4	10	з	з	я	1
заключения	заключенияе	1	10	з	з	е	0
заключения	хзаключения	2	10	з	х	я	1
заключения	заключчения	1	10	з	з	я	1
заключения	залключения	1	10	з	з	я	1
заключения	заключенипя	1	10	з	з	я	1
заключения	заключениия	10	10	з	з	я	1
заключения	заключнения	3	10	з	з	я	1
заключения	закллючения	1	10	з	з	я	1
заключения	заключенияя	1	10	з	з	я	1
заключения	заключенния	9	10	з	з	я	1
заключения	завключения	26	10	з	з	я	1
заключения	заклюдчения	1	10	з	з	я	1
заключения	заключпения	2	10	з	з	я	1
заключения	заключениея	2	10	з	з	я	1
заключения	заклю­чения	55	10	з	з	я	1
заключения	зааключения	4	10	з	з	я	1
заключения	щзаключения	1	10	з	щ	я	1
заключения	заклшючения	1	10	з	з	я	1
поставку	пставку	7	8	п	п	у	1
поставку	поставу	74	8	п	п	у	1
поставку	поствку	17	8	п	п	у	1
поставку	потавку	1	8	п	п	у	1
поставку	посавку	11	8	п	п	у	1
поставку	постаку	40	8	п	п	у	1
поставку	gоставку	6	8	п	g	у	1
поставку	пoставку	7	8	п	п	у	1
поставку	поcтавку	9	8	п	п	у	1
поставку	поставкe	2	8	п	п	e	0
поставку	поставкf	15	8	п	п	f	0
поставку	поставкa	56	8	п	п	a	0
поставку	постакву	1	8	п	п	у	1
поставку	прставку	4	8	п	п	у	1
поставку	поставкау	80	8	п	п	у	1
поставку	поставкуа	44	8	п	п	а	0
поставку	поаставку	2	8	п	п	у	1
поставку	проставку	11	8	п	п	у	1
поставку	ппоставку	2	8	п	п	у	1
поставку	поставцку	1	8	п	п	у	1
поставку	подставку	5	8	п	п	у	1
поставку	по­ставку	5	8	п	п	у	1
поставку	порставку	1	8	п	п	у	1
поставку	поставкку	1	8	п	п	у	1
поставку	апоставку	3	8	п	а	у	1
поставку	паоставку	3	8	п	п	у	1
поставку	погставку	3	8	п	п	у	1
поставку	поставкуо	1	8	п	п	о	0
поставку	поставвку	2	8	п	п	у	1
области	област	63	7	о	о	т	0
области	обласи	5	7	о	о	и	1
области	облсти	4	7	о	о	и	1
области	облати	4	7	о	о	и	1
области	обасти	1	7	о	о	и	1
области	oбласти	4	7	о	o	и	1
области	облаcти	5	7	о	о	и	1
области	обласаи	1	7	о	о	и	1
области	обалсти	5	7	о	о	и	1
области	рбласти	1	7	о	р	и	1
области	оьласти	2	7	о	о	и	1
области	оюласти	1	7	о	о	и	1
области	облатси	7	7	о	о	и	1
области	олбасти	1	7	о	о	и	1
области	областиь	1	7	о	о	ь	0
области	областир	1	7	о	о	р	0
области	областит	3	7	о	о	т	0
области	областиц	2	7	о	о	ц	0
области	облвасти	2	7	о	о	и	1
области	облласти	1	7	о	о	и	1
области	оболасти	1	7	о	о	и	1
области	облаасти	1	7	о	о	и	1
области	областиа	4	7	о	о	а	0
области	робласти	1	7	о	р	и	1
области	обаласти	2	7	о	о	и	1
области	ообласти	1	7	о	о	и	1
области	орбласти	2	7	о	о	и	1
области	областиу	1	7	о	о	у	0
области	обсласти	1	7	о	о	и	1
области	областий	1	7	о	о	й	0
области	областии	2	7	о	о	и	1
области	областим	2	7	о	о	м	0
области	областиг	7	7	о	о	г	0
области	областив	19	7	о	о	в	0
области	йобласти	2	7	о	й	и	1
государственного	государстенного	13	16	г	г	о	1
государственного	государсвенного	5	16	г	г	о	1
государственного	госдарственного	4	16	г	г	о	1
государственного	государственнго	17	16	г	г	о	1
государственного	госудаственного	14	16	г	г	о	1
государственного	госуарственного	2	16	г	г	о	1
государственного	гсударственного	6	16	г	г	о	1
государственного	осударственного	11	16	г	о	о	1
государственного	гоударственного	6	16	г	г	о	1
государственного	государствнного	25	16	г	г	о	1
государственного	госудрственного	8	16	г	г	о	1
государственного	государтвенного	26	16	г	г	о	1
государственного	государcтвенного	2	16	г	г	о	1
государственного	гоcударственного	2	16	г	г	о	1
государственного	государственноле	1	16	г	г	е	0
государственного	государственногт	1	16	г	г	т	0
государственного	госудасртвенного	5	16	г	г	о	1
государственного	государтсвенного	43	16	г	г	о	1
государственного	государсивенного	1	16	г	г	о	1
государственного	государдственного	1	16	г	г	о	1
государственного	государчственного	2	16	г	г	о	1
государственного	государственноого	2	16	г	г	о	1
государственного	государствеенного	1	16	г	г	о	1
государственного	гогсударственного	2	16	г	г	о	1
государственного	госоударственного	1	16	г	г	о	1
государственного	государственногго	2	16	г	г	о	1
государственного	государственногок	2	16	г	г	к	0
государственного	государственногог	2	16	г	г	г	0
государственного	государственнного	62	16	г	г	о	1
государственного	государственномго	2	16	г	г	о	1
государственного	гоосударственного	1	16	г	г	о	1
государственного	госу­дарственного	5	16	г	г	о	1
государственного	государтственного	1	16	г	г	о	1
государственного	государственнрого	1	16	г	г	о	1
государственного	госмударственного	1	16	г	г	о	1
государственного	вгосударственного	1	16	г	в	о	1
государственного	ягосударственного	2	16	г	я	о	1
государственного	государственноаго	1	16	г	г	о	1
государственного	государстввенного	2	16	г	г	о	1
контракта	контркта	4	9	к	к	а	1
контракта	контрака	5	9	к	к	а	1
контракта	конракта	55	9	к	к	а	1
контракта	котракта	27	9	к	к	а	1
контракта	онтракта	3	9	к	о	а	1
контракта	контрата	26	9	к	к	а	1
контракта	кoнтракта	1	9	к	к	а	1
контракта	rонтракта	1	9	к	r	а	1
контракта	кнотракта	2	9	к	к	а	1
контракта	конртакта	1	9	к	к	а	1
контракта	контракоа	1	9	к	к	а	1
контракта	конеракта	2	9	к	к	а	1
контракта	крнтракта	4	9	к	к	а	1
контракта	окнтракта	2	9	к	о	а	1
контракта	контртакта	1	9	к	к	а	1
контракта	кон­тракта	1	9	к	к	а	1
контракта	контрпакта	1	9	к	к	а	1
контракта	контраката	1	9	к	к	а	1
контракта	контрактна	5	9	к	к	а	1
контракта	котнтракта	1	9	к	к	а	1
контракта	контрактка	1	9	к	к	а	1
контракта	контрактра	1	9	к	к	а	1
контракта	контраткта	4	9	к	к	а	1
контракта	конртракта	2	9	к	к	а	1
контракта	контранкта	1	9	к	к	а	1
контракта	контрактах	5	9	к	к	х	0
контракта	контрактат	4	9	к	к	т	0
контракта	контрактас	1	9	к	к	с	0
контракта	контраккта	1	9	к	к	а	1
контракта	контрактва	3	9	к	к	а	1
контракта	конитракта	1	9	к	к	а	1
муниципального	униципального	5	14	м	у	о	1
муниципального	муиципального	1	14	м	м	о	1
муниципального	муниипального	4	14	м	м	о	1
муниципального	муниципалного	52	14	м	м	о	1
муниципального	муниципаьного	1	14	м	м	о	1
муниципального	муниципльного	1	14	м	м	о	1
муниципального	муницпального	23	14	м	м	о	1
муниципального	мунициального	2	14	м	м	о	1
муниципального	мунципального	7	14	м	м	о	1
муниципального	муниципальнго	10	14	м	м	о	1
муниципального	мyниципального	4	14	м	м	о	1
муниципального	муниципaльного	7	14	м	м	о	1
муниципального	муниципальногo	2	14	м	м	o	0
муниципального	муниципалиного	1	14	м	м	о	1
муниципального	миниципального	1	14	м	м	о	1
муниципального	мкниципального	1	14	м	м	о	1
муниципального	муниципаотного	3	14	м	м	о	1
муниципального	муниципальногя	1	14	м	м	я	0
муниципального	суниципального	1	14	м	с	о	1
муниципального	мунициплаьного	1	14	м	м	о	1
муниципального	муниципальногот	4	14	м	м	т	0
муниципального	муни­ципального	2	14	м	м	о	1
муниципального	мунициипального	5	14	м	м	о	1
муниципального	муниципальногго	2	14	м	м	о	1
муниципального	мунпиципального	1	14	м	м	о	1
муниципального	муниципалдьного	2	14	м	м	о	1
муниципального	мунциципального	2	14	м	м	о	1
муниципального	муницитпального	1	14	м	м	о	1
муниципального	муниципаль­ного	5	14	м	м	о	1
муниципального	мугниципального	2	14	м	м	о	1
муниципального	муниципальнрого	1	14	м	м	о	1
муниципального	муниципальногоо	1	14	м	м	о	1
муниципального	муниципальногог	1	14	м	м	г	0
муниципального	муниципальногое	1	14	м	м	е	0
муниципального	муниципального»	1	14	м	м	»	0
муниципального	муници­пального	9	14	м	м	о	1
муниципального	мунициппального	1	14	м	м	о	1
муниципального	мунииципального	2	14	м	м	о	1
муниципального	муниципальнеого	1	14	м	м	о	1
муниципального	ммуниципального	1	14	м	м	о	1
муниципального	му­ниципального	5	14	м	м	о	1
учреждения	учеждения	5	10	у	у	я	1
учреждения	учреждния	6	10	у	у	я	1
учреждения	учреждени	11	10	у	у	и	0
учреждения	учрждения	1	10	у	у	я	1
учреждения	чреждения	6	10	у	ч	я	1
учреждения	учрежения	7	10	у	у	я	1
учреждения	учрежденя	4	10	у	у	я	1
учреждения	учредения	3	10	у	у	я	1
учреждения	уреждения	1	10	у	у	я	1
учреждения	yчреждения	2	10	у	y	я	1
учреждения	учрeждения	4	10	у	у	я	1
учреждения	пчреждения	2	10	у	п	я	1
учреждения	учреджения	2	10	у	у	я	1
учреждения	учрежедния	8	10	у	у	я	1
учреждения	учреждентя	4	10	у	у	я	1
учреждения	ужреждения	1	10	у	у	я	1
учреждения	учрежедения	1	10	у	у	я	1
учреждения	учереждения	35	10	у	у	я	1
учреждения	учреждениея	8	10	у	у	я	1
учреждения	учрежденния	2	10	у	у	я	1
учреждения	учренждения	1	10	у	у	я	1
учреждения	ужчреждения	1	10	у	у	я	1
учреждения	учреждениия	1	10	у	у	я	1
учреждения	учрежднения	1	10	у	у	я	1
открытый	откытый	6	8	о	о	й	1
открытый	окрытый	51	8	о	о	й	1
открытый	открытй	49	8	о	о	й	1
открытый	открыый	3	8	о	о	й	1
открытый	ткрытый	4	8	о	т	й	1
открытый	откртый	4	8	о	о	й	1
открытый	0ткрытый	3	8	о	0	й	1
открытый	jткрытый	1	8	о	j	й	1
открытый	oткрытый	35	8	о	o	й	1
открытый	открыиый	7	8	о	о	й	1
открытый	откыртый	2	8	о	о	й	1
открытый	откратый	2	8	о	о	й	1
открытый	открвтый	1	8	о	о	й	1
открытый	открытий	23	8	о	о	й	1
открытый	отурытый	2	8	о	о	й	1
открытый	открытыый	2	8	о	о	й	1
открытый	откурытый	2	8	о	о	й	1
открытый	открыйтый	5	8	о	о	й	1
открытый	открыттый	2	8	о	о	й	1
открытый	ооткрытый	12	8	о	о	й	1
открытый	открытыйо	1	8	о	о	о	0
открытый	готкрытый	3	8	о	г	й	1
открытый	открытытй	14	8	о	о	й	1
открытый	открвытый	1	8	о	о	й	1
открытый	отккрытый	2	8	о	о	й	1
открытый	открытоый	5	8	о	о	й	1
района	айона	3	6	р	а	а	1
района	райоа	4	6	р	р	а	1
района	райна	47	6	р	р	а	1
района	раона	18	6	р	р	а	1
района	рйона	19	6	р	р	а	1
района	ра1она	2	6	р	р	а	1
района	райoна	8	6	р	р	а	1
района	рaйона	2	6	р	р	а	1
района	радина	2	6	р	р	а	1
района	райрна	2	6	р	р	а	1
района	найона	1	6	р	н	а	1
района	рйаона	1	6	р	р	а	1
района	райоам	1	6	р	р	м	0
района	рацона	5	6	р	р	а	1
района	оайона	2	6	р	о	а	1
района	пайона	2	6	р	п	а	1
района	раойна	48	6	р	р	а	1
района	райоан	1	6	р	р	н	0
района	районап	4	6	р	р	п	0
района	роайона	8	6	р	р	а	1
района	районга	1	6	р	р	а	1
района	райцона	2	6	р	р	а	1
района	райогна	2	6	р	р	а	1
района	районра	4	6	р	р	а	1
района	районае	3	6	р	р	е	0
района	районаг	3	6	р	р	г	0
района	районаа	1	6	р	р	а	1
района	районао	1	6	р	р	о	0
района	районаи	2	6	р	р	и	0
района	раойона	2	6	р	р	а	1
района	райоана	2	6	р	р	а	1
района	рай­она	3	6	р	р	а	1
района	раййона	1	6	р	р	а	1
района	райоона	4	6	р	р	а	1
района	раяйона	8	6	р	р	а	1
района	районна	10	6	р	р	а	1
района	орайона	2	6	р	о	а	1
района	райлона	3	6	р	р	а	1
района	равйона	2	6	р	р	а	1
района	райолна	2	6	р	р	а	1
аукцион	укцион	1	7	а	у	н	1
аукцион	аукцио	8	7	а	а	о	0
аукцион	аукцин	9	7	а	а	н	1
аукцион	аукион	14	7	а	а	н	1
аукцион	акцион	44	7	а	а	н	1
аукцион	ауцион	41	7	а	а	н	1
аукцион	аукцон	6	7	а	а	н	1
аукцион	аукциoн	3	7	а	а	н	1
аукцион	aукцион	6	7	а	a	н	1
аукцион	аукцяон	2	7	а	а	н	1
аукцион	аукцоин	2	7	а	а	н	1
аукцион	аукйион	2	7	а	а	н	1
аукцион	аукцыон	2	7	а	а	н	1
аукцион	ауццион	1	7	а	а	н	1
аукцион	аукцина	1	7	а	а	а	0
аукцион	аункцион	1	7	а	а	н	1
аукцион	аукцкион	2	7	а	а	н	1
аукцион	ааукцион	4	7	а	а	н	1
аукцион	аукционы	30	7	а	а	ы	0
аукцион	аукциону	26	7	а	а	у	0
аукцион	аукцуион	1	7	а	а	н	1
аукцион	аукицион	1	7	а	а	н	1
аукцион	аукецион	2	7	а	а	н	1
аукцион	ауккцион	4	7	а	а	н	1
аукцион	оаукцион	1	7	а	о	н	1
аукцион	акукцион	1	7	а	а	н	1
аукцион	ауокцион	1	7	а	а	н	1
аукцион	аукцмион	1	7	а	а	н	1
аукцион	йаукцион	2	7	а	й	н	1
аукцион	аукциион	6	7	а	а	н	1
аукцион	ауцкцион	1	7	а	а	н	1
аукцион	аукциоон	1	7	а	а	н	1
ремонту	ремнту	3	7	р	р	у	1
ремонту	ремоту	3	7	р	р	у	1
ремонту	емонту	5	7	р	е	у	1
ремонту	рмонту	1	7	р	р	у	1
ремонту	реонту	7	7	р	р	у	1
ремонту	ремoнту	16	7	р	р	у	1
ремонту	pемонту	5	7	р	p	у	1
ремонту	ретонту	1	7	р	р	у	1
ремонту	ремтнту	1	7	р	р	у	1
ремонту	ремноту	1	7	р	р	у	1
ремонту	рмеонту	2	7	р	р	у	1
ремонту	ремрнту	2	7	р	р	у	1
ремонту	ре­монту	2	7	р	р	у	1
ремонту	ремонтну	1	7	р	р	у	1
ремонту	оремонту	1	7	р	о	у	1
ремонту	ремонтру	1	7	р	р	у	1
ремонту	ремонтуа	1	7	р	р	а	0
ремонту	ремонтув	3	7	р	р	в	0
ремонту	ремонтуи	1	7	р	р	и	0
электронной	элекронной	28	11	э	э	й	1
электронной	эектронной	8	11	э	э	й	1
электронной	элетронной	69	11	э	э	й	1
электронной	электонной	19	11	э	э	й	1
электронной	лектронной	19	11	э	л	й	1
